,village,school,num_students
0,Abovce,ZŠ s MŠ - Abovce,34.0
1,Abovce,Materská škola pri ZŠ - Abovce,14.0
2,Abrahám,"Materská škola - Abrahám, Hviezdoslavova",39.0
3,Abrahám,"ZŠ - Abrahám, Školská",130.0
4,Abrahámovce,Materská škola - Abrahámovce,10.0
5,Abrahámovce,ZŠ - Abrahámovce,11.0
6,Abrahámovce,Materská škola - Abrahámovce,10.0
7,Abrahámovce,ZŠ - Abrahámovce,11.0
8,Abranovce,Materská škola - Abranovce,20.0
9,Abranovce,ZŠ - Abranovce,35.0
10,Adamovské Kochanovce,Materská škola - Adamovské Kochanovce,39.0
11,Alekšince,EP Materská šk. pri ZŠ - Alekšince,41.0
12,Alekšince,ZŠ s MŠ - Alekšince,157.0
13,Andovce,Materská škola - Óvoda - Andovce,24.0
14,Arnutovce,Materská škola - Arnutovce,19.0
15,Báb,ZŠ - Báb,103.0
16,Báb,Materská škola - Báb,38.0
17,Babie,Materská škola - Babie,12.0
18,Babín,EP pri ZŠ s MŠ - MŠ - Babín,39.0
19,Babín,ZŠ s MŠ - Babín,144.0
20,Babiná,"Materská škola - Babiná, Dolná",17.0
21,Babindol,Materská škola - Babindol,36.0
22,Bacúch,"Materská škola - Bacúch, Hlavná",13.0
23,Bacúch,"ZŠ - Bacúch, Hlavná",14.0
24,Báč,Materská škola s VJM - Báč,22.0
25,Bačka,"Materská škola s VJM - Bačka, Školská",13.0
26,Bačka,"ZŠ s VJM - Bačka, Školská",16.0
27,Bačkov,"Materská škola - Bačkov, Lesná",15.0
28,Bačkov,"ZŠ - Bačkov, Lesná",44.0
29,Bačkov,"Špec. ZŠ pri RC - Bačkov, Školská",35.0
30,Bačkov,"EP - SŠ - SOŠ - Bačkov, Lesná",
31,Bačkovík,Materská škola - Bačkovík,16.0
32,Bačkovík,ZŠ - Bačkovík,42.0
33,Badín,"EP - ZŠ s MŠ - Badín, Sládkovičova",50.0
34,Badín,"ZŠ s MŠ - Badín, Tajovského",287.0
35,Báhoň,"EP-MŠ pri ZŠ - Báhoň,  1.mája",57.0
36,Báhoň,"ZŠ s MŠ - Báhoň,  1.mája",295.0
37,Bajany,Materská škola - Bajany,16.0
38,Bajč,Materská škola - Bajč,18.0
39,Bajč,ZŠ - Bajč,12.0
40,Bajerov,Materská škola pri ZŠ - Bajerov,14.0
41,Bajerov,ZŠ s MŠ - Bajerov,139.0
42,Bajka,Materská škola - Bajka,13.0
43,Bajtava,"MŠ s VJM - Óvoda - Bajtava, Hlavná",6.0
44,Baka,Materská škola s VJM - Baka,20.0
45,Balog nad Ipľom,"ZŠ s VJM - Balog nad Ipľom, Hlavná",116.0
46,Balog nad Ipľom,"Materská škola s VJM - Balog nad Ipľom, Športová",27.0
47,Baloň,Materská škola s VJM - Baloň,21.0
48,Banka,"ZŠ s MŠ - Banka, Bananská",166.0
49,Banka,"ZŠ s MŠ - predprimárne - Banka, Bananská",47.0
50,Bánov,"ZŠ s MŠ - Bánov, kpt.Nálepku",216.0
51,Bánov,"EP Materská škola - Bánov,  Jozefa Hralu",89.0
52,Bánovce nad Bebravou,"Materská škola - Bánovce n.B., 5.apríla",99.0
53,Bánovce nad Bebravou,"Materská škola - Bánovce n.B., 9.mája",68.0
54,Bánovce nad Bebravou,"ZŠ - Bánovce n.B., Duklianska",521.0
55,Bánovce nad Bebravou,"SOŠ s - Bánovce n.B., Partizánska c.",315.0
56,Bánovce nad Bebravou,"ZŠ - Bánovce n.B., Gorazdova",416.0
57,Bánovce nad Bebravou,"Materská škola - Bánovce n.B., Hollého",133.0
58,Bánovce nad Bebravou,"ZŠ - Bánovce n.B., J.A.Komenského",264.0
59,Bánovce nad Bebravou,"Materská škola - Bánovce n.B., J.A.Komenského",125.0
60,Bánovce nad Bebravou,"Materská škola - Bánovce n.B., J.C.Hronského",98.0
61,Bánovce nad Bebravou,"Materská škola - Bánovce n.B., m.č.Horné Ozorovce",20.0
62,Bánovce nad Bebravou,"ZŠ - Bánovce n.B., Partizánska",594.0
63,Bánovce nad Bebravou,"Špec. ZŠ - Bánovce n.B., Radlinského",92.0
64,Bánovce nad Bebravou,"Materská škola - Bánovce n.B., Radlinského",102.0
65,Bánovce nad Bebravou,"Gym. J. Jesenského - Bánovce n.B., Radlinského",373.0
66,Bánovce nad Bebravou,"ZŠ - Bánovce n.B., Školská",301.0
67,Bánovce nad Bebravou,"Súkr. MŠ Wonderland - Bánovce n.B., Farská",35.0
68,Bánovce nad Bebravou,"Cirk. SOŠ sv. Terézie z - Bánovce n.B., Farská",15.0
69,Bánovce nad Ondavou,Materská škola - Bánovce nad Ondavou,20.0
70,Banská Belá,ZŠ s MŠ - B.Belá,97.0
71,Banská Belá,EP - ZŠ s MŠ - B.Belá,45.0
72,Banská Bystrica,"Materská škola - B.Bystrica, 9.mája",45.0
73,Banská Bystrica,"Materská škola - B.Bystrica, Buková",44.0
74,Banská Bystrica,"Materská škola - B.Bystrica, c.k nemocnici",83.0
75,Banská Bystrica,"Súkr.OA - B.Bystrica, Dolná",
76,Banská Bystrica,"Materská škola - B.Bystrica, Družby",131.0
77,Banská Bystrica,"PrŠ pri ŠZŠ - B.Bystrica, Ďumbierska",8.0
78,Banská Bystrica,"Špec.ZŠ - B.Bystrica, Ďumbierska",92.0
79,Banská Bystrica,"ZŠ - B.Bystrica, Ďumbierska",594.0
80,Banská Bystrica,"ZŠ J.G.T. - B.Bystrica, Gaštanová",320.0
81,Banská Bystrica,"ZŠ - B.Bystrica, Golianova",742.0
82,Banská Bystrica,"Materská škola - B.Bystrica, Horná",46.0
83,Banská Bystrica,"Súkr. materská škola - B.Bystrica, Lazovná",30.0
84,Banská Bystrica,"SPŠ J .M. - B.Bystrica, Hurbanova",633.0
85,Banská Bystrica,"Katolícke gym. Š.M - B.Bystrica, Hurbanova",326.0
86,Banská Bystrica,"Gym. A.S. - B.Bystrica, J.A Komenského",443.0
87,Banská Bystrica,"SZŠ - B.Bystrica, J.G.Tajovského",523.0
88,Banská Bystrica,"Gym.  J.G.T. - B.Bystrica, J.G.Tajovského",732.0
89,Banská Bystrica,"OA - B.Bystrica, J.G.Tajovského",319.0
90,Banská Bystrica,"SOŠ infor. technológií - B.Bystrica, Tajovského",559.0
91,Banská Bystrica,"Materská škola - B.Bystrica, Jakubská c.",36.0
92,Banská Bystrica,"Súkr. ZŠ - B.Bystrica, Ružová",197.0
93,Banská Bystrica,"Materská škola - B.Bystrica, Karpatská",103.0
94,Banská Bystrica,"SŠ - SOŠ st. - B.Bystrica, Kremnička",
95,Banská Bystrica,"SŠ - SPŠ s. - B.Bystrica, Kremnička",
96,Banská Bystrica,"Materská škola - B.Bystrica, Kremnička",28.0
97,Banská Bystrica,"Materská škola - B.Bystrica, Lazovná",77.0
98,Banská Bystrica,"Materská škola - B.Bystrica, Magurská",83.0
99,Banská Bystrica,"Súkr. ZŠ - B.Bystrica, Mládežnícka",167.0
100,Banská Bystrica,"Gym. M.K. - B.Bystrica, Mládežnícka",303.0
101,Banská Bystrica,"ZŠ - B.Bystrica, Moskovská",576.0
102,Banská Bystrica,"Materská škola - B.Bystrica, Na Lúčkach",109.0
103,Banská Bystrica,"Materská škola - B.Bystrica, Na Starej tehelni",75.0
104,Banská Bystrica,"Súkr.materská škola - B.Bystrica, Nad plážou",53.0
105,Banská Bystrica,"ZŠ pri zdrav. zar. - B.Bystrica, Nám.L.Svobodu",54.0
106,Banská Bystrica,"ZŠ s MŠ Š.M - B.Bystrica, Nám.Š.Moysesa",236.0
107,Banská Bystrica,"Materská škola - B.Bystrica, Nová",114.0
108,Banská Bystrica,"Materská škola - B.Bystrica, Odbojárov",30.0
109,Banská Bystrica,"ZŠ - B.Bystrica, Okružná",370.0
110,Banská Bystrica,"Materská škola - B.Bystrica, Petra Jilemnického",77.0
111,Banská Bystrica,"ZŠ - B.Bystrica, Pieninská",325.0
112,Banská Bystrica,"SOŠ - B.Bystrica, Pod Bánošom",313.0
113,Banská Bystrica,"Materská škola - B.Bystrica, Radvanská",99.0
114,Banská Bystrica,"Materská škola - B.Bystrica, Radvanská",121.0
115,Banská Bystrica,"Materská škola - B.Bystrica, Sásovská c.",79.0
116,Banská Bystrica,"Materská škola - B.Bystrica, Senická c.",19.0
117,Banská Bystrica,"ZŠ - B.Bystrica, Sitnianska",450.0
118,Banská Bystrica,"Konz. J.L.B. - B.Bystrica, Skuteckého",223.0
119,Banská Bystrica,"Ev. gym. - B.Bystrica, Skuteckého",319.0
120,Banská Bystrica,"ZŠ SSV - B.Bystrica, Skuteckého",464.0
121,Banská Bystrica,"Súkr. materská škola - B.Bystrica, Mládežnícka",119.0
122,Banská Bystrica,"ZŠ - B.Bystrica, Spojová",815.0
123,Banská Bystrica,"Materská škola - B.Bystrica, Strážovská",102.0
124,Banská Bystrica,"Materská škola - B.Bystrica, Šalgotarjánska",119.0
125,Banská Bystrica,"SOŠ hotel.sl. a obchodu - B.Bystrica, Školská",366.0
126,Banská Bystrica,"SŠ - SOŠ pod - B.Bystrica, Školská",
127,Banská Bystrica,"SŠ - SOŠ aut - B.Bystrica, Školská",
128,Banská Bystrica,"Súkr. materská škola - B.Bystrica, Tajovského",59.0
129,Banská Bystrica,"Materská škola - B.Bystrica, Tatranská",128.0
130,Banská Bystrica,"ZŠ - B.Bystrica, Trieda SNP",415.0
131,Banská Bystrica,"Stredná športová škola - B.Bystrica, Trieda SNP",482.0
132,Banská Bystrica,"Materská škola - B.Bystrica, Trieda SNP",21.0
133,Banská Bystrica,"Materská škola - B.Bystrica, Tulská",104.0
134,Banská Bystrica,"Materská škola - B.Bystrica, 29.augusta",99.0
135,Banská Bystrica,"EP - ZŠ s MŠ Š. M. - B.Bystrica, Tibora Andrašovana",24.0
136,Banská Bystrica,"Súkr. gym. BB - B.Bystrica, Ružová  15/A",102.0
137,Banská Bystrica,"SŠ - SOŠ el. - B.Bystrica, Zvolenská c.",
138,Banská Bystrica,"Materská škola - B.Bystrica, Hronská",20.0
139,Banská Bystrica,"Materská škola - B.Bystrica, prof.Sáru",86.0
140,Banská Bystrica,"OU int. - B.Bystrica, Moskovská",98.0
141,Banská Bystrica,"Súkr. materská škola - B.Bystrica, Tatranská",37.0
142,Banská Bystrica,"EP - Súkr. MŠ - B.Bystrica, Nám.SNP",
143,Banská Bystrica,"EP - Súkr. MŠ - B.Bystrica, Trieda SNP",
144,Banská Bystrica,"Súkr. materská škola - B.Bystrica, Rakytovská c.",40.0
145,Banská Bystrica,"Súkr. ZŠ - B.Bystrica, Lazovná ",179.0
146,Banská Bystrica,"EP - SŠ (SOŠ stavebná) - B.Bystrica, Sládkovičova",
147,Banská Bystrica,"Súkr. materská škola - B.Bystrica, Severná",19.0
148,Banská Bystrica,"EP - Súkr.ZŠ pre ž.s a. - B.Bystrica,  9.mája",
149,Banská Bystrica,"Súkr. materská škola - B.Bystrica, Nám.L.Svobodu",36.0
150,Banská Bystrica,"Súkr. MŠ - B.Bystrica, Janka Kráľa",25.0
151,Banská Bystrica,"ZŠ s MŠ J. B. - B.Bystrica, Bakossova",335.0
152,Banská Bystrica,"MŠ pri ZŠ J.B. - B.Bystrica, Bakossova",44.0
153,Banská Bystrica,"ZŠ s MŠ - B.Bystrica, Radvanská",655.0
154,Banská Bystrica,"MŠ pri ZŠ - B.Bystrica, Radvanská",59.0
155,Banská Štiavnica,"Gym. A.K. - B.Štiavnica, Kolpašská",365.0
156,Banská Štiavnica,"SPŠ S.M. - B.Štiavnica, Akademická",307.0
157,Banská Štiavnica,"SOŠ lesnícka - B.Štiavnica, Akademická",211.0
158,Banská Štiavnica,"Materská škola - B.Štiavnica, Bratská",85.0
159,Banská Štiavnica,"Súkr. materská škola - B.Štiavnica, Dolná ružová",25.0
160,Banská Štiavnica,"Súkr.HA - B.Štiavnica, Drieňová",102.0
161,Banská Štiavnica,"Kat.SŠ - MŠ - B.Štiavnica, Gwerkovej-Göllnerovej",61.0
162,Banská Štiavnica,"Kat.SŠ - CZŠ - B.Štiavnica, Gwerkovej-Göllnerovej",176.0
163,Banská Štiavnica,"Súkr. ZŠ - B.Štiavnica, Akademická",93.0
164,Banská Štiavnica,"ZŠ - B.Štiavnica, L.Svobodu",204.0
165,Banská Štiavnica,"Materská škola - B.Štiavnica, Mierová",25.0
166,Banská Štiavnica,"EP - MŠ - B.Štiavnica, Nám.padlých hrd.",
167,Banská Štiavnica,"Špec.ZŠ - B.Štiavnica, Novozámocká",32.0
168,Banská Štiavnica,"ZŠ - B.Štiavnica, P.Dobšinského",471.0
169,Banská Štiavnica,"Materská škola - B.Štiavnica,  1.mája",128.0
170,Banská Štiavnica,"SOŠ služieb a lesníctva - B.Štiavnica, Kolpašská",310.0
171,Banská Štiavnica,"Súkr.materská škola - B.Štiavnica, Poľovnícka 1914/3B",34.0
172,Banská Štiavnica,"Kat.SŠ - SOŠ - B.Štiavnica, Gwerkovej-Göllnerovej",15.0
173,Banské,ZŠ - Banské,131.0
174,Banské,Materská škola - Banské,52.0
175,Bara,Materská škola - Bara,7.0
176,Barca,ZŠ s VJM - Barca,49.0
177,Bardejov,ZŠ s MŠ pri ZZ - Bardejov,58.0
178,Bardejov,"Materská škola - Bardejov, Gorkého",142.0
179,Bardejov,"Súkr. SOŠ - Bardejov, Hviezdoslavova",163.0
180,Bardejov,"Gym. - Bardejov, Jiráskova",543.0
181,Bardejov,"Cirk. SŠ - CZŠ - Bardejov, Jiráskova",392.0
182,Bardejov,"ZŠ - Bardejov, Komenského",750.0
183,Bardejov,"Materská škola - Bardejov, Komenského",124.0
184,Bardejov,"Materská škola - Bardejov, Komenského",131.0
185,Bardejov,"SPŠ - Bardejov, Komenského",294.0
186,Bardejov,"MŠ pri CZŠ sv. Faustíny - Bardejov, Pánska",48.0
187,Bardejov,"CZŠ s MŠ sv. Faustíny - Bardejov, Pánska",160.0
188,Bardejov,"Materská škola - Bardejov, Nábrežná",141.0
189,Bardejov,"Materská škola - Bardejov, Nám.arm.gen.L.Svobodu",124.0
190,Bardejov,"ZŠ - Bardejov, Nám.arm.gen.L.Svobodu",284.0
191,Bardejov,"Materská škola - Bardejov, Nový Sad",54.0
192,Bardejov,"SŠ - PŠ - Bardejov, Pod papierňou",10.0
193,Bardejov,"SŠ - ŠZŠ - Bardejov, Pod papierňou",110.0
194,Bardejov,"Materská škola pri ZŠ - Bardejov, Pod papierňou 16A",60.0
195,Bardejov,"ZŠ s MŠ - Bardejov, Pod papierňou 16A",208.0
196,Bardejov,"Materská škola pri ZŠ - Bardejov, Pod Vinbargom",66.0
197,Bardejov,"ZŠ s MŠ - Bardejov, Pod Vinbargom",612.0
198,Bardejov,"HA - Bardejov, Pod Vinbargom",308.0
199,Bardejov,"MŠ pri ZŠ bl. Zefyrína - Bardejov, Poštárka 120A",62.0
200,Bardejov,"ZŠ s MŠ bl. Zefyrína - Bardejov, Poštárka 120A",182.0
201,Bardejov,"SŠ-Gym. - Bardejov, Slovenská",
202,Bardejov,"SŠ-SOŠpolyt. - Bardejov, Slovenská",
203,Bardejov,"SŠ - SOŠ - Bardejov, Štefánikova",
204,Bardejov,"SŠ-SOŠob.sl. - Bardejov, Štefánikova",
205,Bardejov,"ZŠ - Bardejov, Tarasa Ševčenka",548.0
206,Bardejov,"Súkr. gym. DSA - Bardejov, Nám.arm.gen.L.Svobodu",94.0
207,Bardejov,"Cirk. materská škola - Bardejov,  sv.Jakuba",23.0
208,Bardejov,"ZŠ - Bardejov, Wolkerova",675.0
209,Bardejov,"Materská škola - Bardejov, Lipová",47.0
210,Bardejov,"Cirk. SŠ - GYM - Bardejov, Jiráskova",123.0
211,Bardejov,"EP - ZŠ s MŠ pri ZZ - Bardejov, Sv.Jakuba",
212,Bardejov,"SŠ - OU - Bardejov, Pod papierňou",32.0
213,Bardoňovo,Materská škola - Bardoňovo,14.0
214,Bartošova Lehôtka,Materská škola - Bartošova Lehôtka,11.0
215,Bartošovce,ZŠ - Bartošovce,20.0
216,Bartošovce,Materská škola - Bartošovce,22.0
217,Baškovce,Materská škola - Baškovce,14.0
218,Baškovce,Materská škola - Baškovce,14.0
219,Bašovce,Materská škola - Bašovce,18.0
220,Batizovce,"Materská škola - Batizovce, Komenského",55.0
221,Batizovce,"ZŠ - Batizovce, Komenského",146.0
222,Batizovce,"EP - ŠZŠ - Batizovce, Nálepkova",
223,Bátka,ZŠ - Bátka,498.0
224,Bátka,Materská škola - Bátka,44.0
225,Bátorová,Materská škola - Bátorová,12.0
226,Bátorove Kosihy,"Súkr. SOŠ obch. a služ. - Bátorove Kosihy, Hl.nám.",129.0
227,Bátorove Kosihy,ZŠ - Bátorove Kosihy,113.0
228,Bátorove Kosihy,"ZŠ J. Kovátsa s VJM - Bátorove Kosihy, Hlavná",162.0
229,Bátorove Kosihy,"MŠ s VJM - Óvoda - Bátorove Kosihy, Lúčky",23.0
230,Bátorove Kosihy,"Materská škola - Óvoda - Bátorove Kosihy, Malá",56.0
231,Bátorove Kosihy,"EP Špec. ZŠ s v.j.m - Bátorove Kosihy, Hlavná",
232,Bátovce,ZŠ - Bátovce,93.0
233,Bátovce,Materská škola - Bátovce,52.0
234,Beckov,EP ako súčasť ZŠsMŠ JMH - Beckov,48.0
235,Beckov,ZŠ s MŠ J.M.Hurbana - Beckov,141.0
236,Belá,MŠ s VJM - Óvoda - Belá,12.0
237,Belá,"ZŠ s MŠ pri SŠ - Belá, Oslobodenia",328.0
238,Belá,"EP pri SŠ-MŠ - Belá, SNP",73.0
239,Belá,MŠ s VJM - Óvoda - Belá,12.0
240,Belá,"ZŠ s MŠ pri SŠ - Belá, Oslobodenia",328.0
241,Belá,"EP pri SŠ-MŠ - Belá, SNP",73.0
242,Belá nad Cirochou,"Cirk. ZŠ s MŠ - Belá n.C., Komenského",231.0
243,Belá nad Cirochou,"EP - C ZŠ s MŠ (MŠ) - Belá n.C., Cintorínska",62.0
244,Beladice,"Materská škola - Beladice, Parková",15.0
245,Beladice,"ZŠ - Beladice, Školská",88.0
246,Beladice,"Materská škola - Beladice, Školská",33.0
247,Belina,Materská škola pri ZŠ - Belina,24.0
248,Belina,ZŠ s MŠ - Belina,20.0
249,Beloveža,Materská škola - Beloveža,21.0
250,Beloveža,ZŠ - Beloveža,22.0
251,Beluša,"ZŠ - Beluša, Slatinská",528.0
252,Beluša,"Materská škola - Beluša, Ľ.Štúra",208.0
253,Beluša,"EP ako súčasť MŠ - Beluša, Hloža",
254,Beňadovo,EP pri ZŠ s MŠ-MŠ - Beňadovo,60.0
255,Beňadovo,ZŠ s MŠ - Beňadovo,130.0
256,Beniakovce,Materská škola - Beniakovce,29.0
257,Benice,EP pri ZŠ s MŠ - MŠ - Benice,18.0
258,Benice,ZŠ s MŠ - Benice,269.0
259,Benice,EP pri ZŠ s MŠ - MŠ - Benice,18.0
260,Benice,ZŠ s MŠ - Benice,269.0
261,Benkovce,EP - ZŠ s MŠ (MŠ) - Benkovce,33.0
262,Beňuš,Materská škola - Beňuš,31.0
263,Beňuš,ZŠ - Beňuš,167.0
264,Bernolákovo,"Materská škola - Bernolákovo, Komenského",264.0
265,Bernolákovo,"ZŠ - Bernolákovo, Komenského",763.0
266,Bernolákovo,"SŠ-SOŠ agrotechnická J. - Bernolákovo, Svätoplukova",
267,Bernolákovo,"EP-ZŠ - Bernolákovo, Školská",
268,Bernolákovo,"Súkr. MŠ - Bernolákovo, Trnavská",18.0
269,Bertotovce,Materská škola - Bertotovce,21.0
270,Bertotovce,ZŠ - Bertotovce,19.0
271,Beša,Materská škola - Beša,21.0
272,Beša,ZŠ - Beša,12.0
273,Beša,"Materská škola - Beša, Hlavná",8.0
274,Beša,Materská škola - Beša,21.0
275,Beša,ZŠ - Beša,12.0
276,Beša,"Materská škola - Beša, Hlavná",8.0
277,Bešeňov,Materská škola - Óvoda - Bešeňov,39.0
278,Bešeňov,ZŠ - Bešeňov,30.0
279,Bešeňov,ZŠ s VJM - Bešeňov,11.0
280,Bešeňová,Materská škola - Bešeňov,22.0
281,Betlanovce,Materská škola - Betlanovce,19.0
282,Betliar,"Materská škola - Betliar, Kaštielna",14.0
283,Bežovce,Materská škola pri ZŠ - Bežovce,17.0
284,Bežovce,ZŠ s MŠ - Bežovce,136.0
285,Bidovce,EP - SOŠ - Bidovce,
286,Bidovce,ZŠ s MŠ - Bidovce,435.0
287,Bidovce,EP - ZŠ s MŠ (MŠ) - Bidovce,39.0
288,Bidovce,EP - ZŠ s MŠ (ZŠ) - Bidovce,
289,Biel,"Materská škola - Biel, Hlavná",27.0
290,Biel,"ZŠ s VJM - Biel, Hlavná",192.0
291,Biely Kostol,"Materská škola - Biely Kostol, Cintorinska",68.0
292,Bijacovce,Materská škola pri ZŠ - Bijacovce,42.0
293,Bijacovce,ZŠ s MŠ - Bijacovce,69.0
294,Bijacovce,SOŠ lesnícka - Spojená - Bijacovce,112.0
295,Bíňa,MŠ s VJM - Óvoda - Bíňa,25.0
296,Bíňovce,Materská škola - Bíňovce,17.0
297,Biskupice,"Materská škola s VJM - Biskupice, Gagarinova",15.0
298,Biskupice,"ZŠ s VJM - Biskupice, Gagarinova",33.0
299,Biskupice,"Materská škola s VJM - Biskupice, Gagarinova",15.0
300,Biskupice,"ZŠ s VJM - Biskupice, Gagarinova",33.0
301,Biskupice,"Materská škola s VJM - Biskupice, Gagarinova",15.0
302,Biskupice,"ZŠ s VJM - Biskupice, Gagarinova",33.0
303,Bitarová,Materská škola - Bitarová,20.0
304,Blahová,Materská škola - Blahová,21.0
305,Blatná na Ostrove,ZŠ s VJM - Blatná na.O.,5.0
306,Blatná na Ostrove,Materská škola s VJM - Blatná na.O.,37.0
307,Blatné,"Materská škola - Blatné, Antona Vosátka",94.0
308,Blatné,"ZŠ - Blatné, Šarfická",225.0
309,Blatné Remety,Materská škola - Blatné Remety,15.0
310,Blatné Remety,ZŠ - Blatné Remety,111.0
311,Blatnica,ZŠ - Blatnica,27.0
312,Blatnica,Materská škola - Blatnica,37.0
313,Blhovce,ZŠ s VJM - Blhovce,34.0
314,Blhovce,"Materská škola s VJM - Blhovce, Hlavná",22.0
315,Bobot,Materská škola - Bobot,32.0
316,Bobot,ZŠ - Bobot,20.0
317,Bobrov,"ZŠ s MŠ - Bobrov, Nová c.",212.0
318,Bobrov,"EP pri ZŠ s MŠ-MŠ - Bobrov, Plátenícka",75.0
319,Bobrovec,ZŠ - Bobrovec,229.0
320,Bobrovec,Materská škola - Bobrovec,69.0
321,Bodovce,ZŠ - Bodovce,36.0
322,Bodovce,Materská škola - Bodovce,36.0
323,Bodza,MŠ s VJM - Óvoda - Bodza,10.0
324,Bohdanovce,ZŠ s MŠ - Bohdanovce,253.0
325,Bohdanovce,EP - ZŠsMŠ (MŠ) - Bohdanovce,40.0
326,Bohdanovce nad Trnavou,ZŠ s MŠ - Bohdanovce nad Trnavou,77.0
327,Bohdanovce nad Trnavou,"EP ako súčasť ZŠ s MŠ - Bohdanovce nad Trnavou, Bohdanovce nad",61.0
328,Boheľov,Materská škola s VJM - Boheľov,14.0
329,Bojná,Materská škola - Bojná,64.0
330,Bojná,ZŠ - Bojná,240.0
331,Bojnice,"EP ako súčasť ZŠ s MŠ - Bojnice, Pribinova",108.0
332,Bojnice,"ZŠ s MŠ - Bojnice, Školská",423.0
333,Bojničky,EP ako súčasť ZŠ s MŠ - Bojničky,42.0
334,Bojničky,ZŠ s MŠ - Bojničky,128.0
335,Boľ,"Materská škola pri ZŠ - Boľ, Školská",19.0
336,Boľ,"ZŠ s MŠ VJM - Boľ, Školská",166.0
337,Boldog,Materská škola - Boldog,21.0
338,Boleráz,ZŠ s MŠ - Boleráz,252.0
339,Boleráz,EP ako súčasť ZŠ s MŠ - Boleráz,86.0
340,Bolešov,EP ako súčasť ZŠ s MŠ - Bolešov,68.0
341,Bolešov,ZŠ s MŠ - Bolešov,271.0
342,Boliarov,Materská škola - Boliarov,19.0
343,Boliarov,ZŠ - Boliarov,93.0
344,Boľkovce,Materská škola - Boľkovce,18.0
345,Borinka,"Materská škola - Borinka, Dlhá",39.0
346,Borová,Materská škola - Borová,15.0
347,Borovce,Materská škola - Borovce,24.0
348,Borský Mikuláš,"Materská škola - Borský Mikuláš, Na výhone 1846/38C",130.0
349,Borský Mikuláš,"ZŠ - Borský Mikuláš, Záhorácka",289.0
350,Borský Mikuláš,"EP ako súčasť MŠ - Borský Mikuláš, Bor.Peter, Na dereši",
351,Borský Mikuláš,"EP ako súčasť MŠ - Borský Mikuláš, Na výhone 1845/38B",
352,Borský Svätý Jur,"MŠ pri ZŠ - Borský Svätý Jur, Hviezdoslavova",35.0
353,Borský Svätý Jur,"ZŠ s MŠ - Borský Svätý Jur, Hviezdoslavova",157.0
354,Borša,"Materská škola pri ZŠ - Borša, Ružová",25.0
355,Borša,"ZŠ s MŠ - Borša, Ružová",195.0
356,Bory,Materská škola - Bory,8.0
357,Bošáca,EP ako súčasť ZŠ s MŠ - Bošáca,37.0
358,Bošáca,ZŠ s MŠ Ľ.V.Riznera - Bošáca,219.0
359,Bošany,"Materská škola - Bošany, Komenského",120.0
360,Bošany,"ZŠ - Bošany, Školská",391.0
361,Bošany,"Súkr. MŠ - Bošany, Družstevná",3.0
362,Boťany,"ZŠ s VJM - Boťany, Hlavná",54.0
363,Boťany,"Materská škola - Boťany, Hlavná",16.0
364,Bôrka,Materská škola s VJM - Bôrka,23.0
365,Bracovce,ZŠ s MŠ - Bracovce,240.0
366,Bracovce,EP - ZŠsMŠ (MŠ) - Bracovce,40.0
367,Branč,"ZŠ - Branč, Nitrianska",130.0
368,Branč,"Materská škola - Branč, Púpavová",58.0
369,Branovo,Materská škola - Branovo,13.0
370,Braväcovo,Materská škola - Braväcovo,17.0
371,Brehov,"Materská škola - Brehov, Rozmarínová",12.0
372,Brehy,EP - ZŠ s MŠ - Brehy,40.0
373,Brehy,"ZŠ s MŠ - Brehy, Záhumnie",144.0
374,Brekov,ZŠ - Brekov,49.0
375,Brekov,Materská škola - Brekov,39.0
376,Brestov,Materská škola - Brestov,11.0
377,Brestov,Materská škola - Brestov,21.0
378,Brestov,Materská škola - Brestov,11.0
379,Brestov,Materská škola - Brestov,21.0
380,Brestovany,"MŠ pri ZŠ - Brestovany, J.Nižnanského",95.0
381,Brestovany,"ZŠ s MŠ - Brestovany, J.Nižnanského",226.0
382,Brestovec,Materská škola - Brestovec,28.0
383,Brestovec,ZŠ - Brestovec,23.0
384,Brestovec,MŠ s VJM - Óvoda - Brestovec,18.0
385,Brestovec,Materská škola - Brestovec,28.0
386,Brestovec,ZŠ - Brestovec,23.0
387,Brestovec,MŠ s VJM - Óvoda - Brestovec,18.0
388,Bretejovce,Materská škola - Bretejovce,19.0
389,Bretka,Materská škola - Bretka,12.0
390,Bretka,ZŠ - Bretka,18.0
391,Breza,ZŠ s MŠ - Breza,188.0
392,Breza,EP pri ZŠ s MŠ-MŠ - Breza,58.0
393,Breza,EP pri ZŠ s MŠ-ZŠ - Breza,
394,Breza,EP pri ZŠ s MŠ-MŠ - Breza,
395,Brezany,Materská škola - Brezany,20.0
396,Brezany,Materská škola - Brezany,20.0
397,Brezina,"ZŠ - Brezina, Brezová",22.0
398,Brezina,"Materská škola - Brezina, Brezová",14.0
399,Breznica,Materská škola - Breznica,25.0
400,Breznica,ZŠ - Breznica,20.0
401,Breznička,ZŠ - Breznička,12.0
402,Breznička,Materská škola - Breznička,17.0
403,Breznička,ZŠ - Breznička,12.0
404,Breznička,Materská škola - Breznička,17.0
405,Brezno,"EP - ZŠ s MŠ - Brezno, Boženy Němcovej",42.0
406,Brezno,"EP - ZŠ s MŠ K. R. - Brezno, Dr.Clementisa",108.0
407,Brezno,"EP - ZŠ s MŠ - Brezno, Hradby",103.0
