,Okres,Počet obyvateľov v okrese,Navrhovaný počet odberových miest pre okres,Kapacita testov za deň pre okres,Kapacita testov za týždeň pre okres,Obec,Navrhované odberové miesto,Počet obyvateľov,Navrhovaný počet odberových jednotiek pre obec,Kapacita testov za deň pre obec,Kapacita testov za týždeň pre obec
91,,,,,,Fiľakovo,"ZŠ Š. K. II - Fiľakovo, Mládežnícka",10772.0,4.0,1200.0,8400.0
92,,,,,,Lučenec,"SOŠ hotel. sl a dopravy - Lučenec, Zvolenská c.",28335.0,11.0,3300.0,23100.0
93,Malacky,67098.0,13.0,3900.0,27300.0,,,,,,
94,,,,,,Malacky,"ZŠ - Malacky, Gen.M.R.Štefánika",17087.0,8.0,2400.0,16800.0
95,,,,,,Stupava,"ZŠ - Stupava, Školská",9944.0,5.0,1500.0,10500.0
96,Martin,101300.0,20.0,6000.0,42000.0,,,,,,
97,,,,,,Martin,"ZŠ s MŠ - Martin, Hurbanova",56526.0,18.0,5400.0,37800.0
98,,,,,,Vrútky,"ZŠ - Vrútky, Čachovský rad",7664.0,2.0,600.0,4200.0
99,Medzilaborce,12124.0,2.0,600.0,4200.0,,,,,,
100,,,,,,Medzilaborce,"ZŠ - Medzilaborce, Duchnovičova",6730.0,2.0,600.0,4200.0
101,Michalovce,110173.0,22.0,6600.0,46200.0,,,,,,
102,,,,,,Michalovce,"ZŠ - Michalovce, Okružná",39719.0,18.0,5400.0,37800.0
103,,,,,,Veľké Kapušany,"ZŠ POH - V.Kapušany, Síd.P.O.Hviezdoslava",9321.0,4.0,1200.0,8400.0
104,Myjava,31638.0,6.0,1800.0,12600.0,,,,,,
105,,,,,,Brezová pod Bradlom,"ZŠ - Brezová p.B., Sídl.Dolné Lúky",5041.0,2.0,600.0,4200.0
106,,,,,,Myjava,"ZŠ - Myjava, Štúrova",12114.0,4.0,1200.0,8400.0
107,Nitra,160724.0,32.0,9600.0,67200.0,,,,,,
108,,,,,,Nitra,"ZŠ - Nitra, Benkova",78351.0,29.0,8700.0,60900.0
109,,,,,,Vráble,"ZŠ s MŠ - Vráble, Sídl.Lúky",8843.0,3.0,900.0,6300.0
110,Nové Mesto nad Váhom,65156.0,13.0,3900.0,27300.0,,,,,,
111,,,,,,Nové Mesto nad Váhom,"Materská škola - N.M.n.Váhom, Poľovnícka",20208.0,9.0,2700.0,18900.0
112,,,,,,Stará Turá,"ZŠ - St.Turá, Hurbanova",9207.0,4.0,1200.0,8400.0
113,Nové Zámky,130795.0,26.0,7800.0,54600.0,,,,,,
114,,,,,,Dvory nad Žitavou,"ZŠ - Dvory n.Ž., Hl.nám.",5148.0,2.0,600.0,4200.0
115,,,,,,Nové Zámky,"ZŠ - Nové Zámky, Nábrežná",39219.0,19.0,5700.0,39900.0
116,,,,,,Štúrovo,"ZŠ E.Adyho s VJM - Štúrovo, Adyho",10666.0,5.0,1500.0,10500.0
117,Námestovo,59688.0,12.0,3600.0,25200.0,,,,,,
118,,,,,,Námestovo,"Gym. A. Bernoláka - Námestovo, Mieru",7915.0,7.0,2100.0,14700.0
119,,,,,,Zákamenné,ZŠ s MŠ J. Vojtaššáka - Zákamenné,5300.0,5.0,1500.0,10500.0
120,Partizánske,41087.0,8.0,2400.0,16800.0,,,,,,
121,,,,,,Partizánske,"SOŠ J.A.B. - Partizánske, Nám.SNP",23709.0,8.0,2400.0,16800.0
122,Pezinok,55659.0,12.0,3600.0,25200.0,,,,,,
123,,,,,,Modra,"ZŠ - Modra, Komenského 1/A",8785.0,3.0,900.0,6300.0
124,,,,,,Pezinok,"ZŠ - Pezinok, Fándlyho",21851.0,7.0,2100.0,14700.0
125,,,,,,Svätý Jur,"ZŠ - Svätý Jur, Kollárova",5442.0,2.0,600.0,4200.0
126,Piešťany,66064.0,13.0,3900.0,27300.0,,,,,,
127,,,,,,Piešťany,"ZŠ - Piešťany, Brezová",28047.0,11.0,3300.0,23100.0
128,,,,,,Vrbové,"ZŠ - Vrbové, Komenského",6122.0,2.0,600.0,4200.0
129,Poltár,25583.0,5.0,1500.0,10500.0,,,,,,
130,,,,,,Poltár,"ZŠ - Poltár, Slobody",5772.0,5.0,1500.0,10500.0
131,Poprad,102777.0,21.0,6300.0,44100.0,,,,,,
132,,,,,,Poprad,"SŠ - Gym - Poprad, Dominika Tatarku",52654.0,18.0,5400.0,37800.0
133,,,,,,Svit,"ZŠ - Svit, Komenského",7679.0,3.0,900.0,6300.0
134,Považská Bystrica,64014.0,13.0,3900.0,27300.0,,,,,,
135,,,,,,Považská Bystrica,"SOŠ strojnícka - Pov. Bystrica, Športovcov",40817.0,13.0,3900.0,27300.0
136,Prešov,85762.0,17.0,5100.0,35700.0,,,,,,
137,,,,,,Veľký Šariš,"ZŠ - Veľký Šariš, Školská",5630.0,17.0,5100.0,35700.0
138,Prievidza,149659.0,30.0,9000.0,63000.0,,,,,,
139,,,,,,Handlová,"ZŠ - Handlová, Mierové nám.",17615.0,8.0,2400.0,16800.0
140,,,,,,Prievidza,"Gym.V.B.Nedožerského - Prievidza, Matice slovenskej",48134.0,22.0,6600.0,46200.0
141,Púchov,40574.0,8.0,2400.0,16800.0,,,,,,
142,,,,,,Púchov,"ZŠ - Púchov, Mládežnícka",18121.0,8.0,2400.0,16800.0
143,Revúca,45112.0,9.0,2700.0,18900.0,,,,,,
144,,,,,,Revúca,"ZŠ J.A.K - Revúca, Komenského",12696.0,6.0,1800.0,12600.0
145,,,,,,Tornaľa,"ZŠ F.K. - Tornaľa, Mierová",7415.0,3.0,900.0,6300.0
146,Rimavská Sobota,90770.0,18.0,5400.0,37800.0,,,,,,
147,,,,,,Hnúšťa,"ZŠ J.F.R. - Hnúšťa, Nábr.Rimavy",7721.0,4.0,1200.0,8400.0
